gene,guide,condition,n_cells,self_log2fc
HLA-B,HLA-B_2,Control,25,0.14183423896871605
IFNGR1,IFNGR1_1,Control,58,-2.5928105488122704
CDKN1A,CDKN1A_3,Control,49,-0.47450707695426436
EMP1,EMP1_3,Control,44,-0.28916368275578797
CD63,CD63_2,Control,31,-1.4499557413524315
PIK3IP1,PIK3IP1_2,Control,36,-0.08751358955133781
SPESP1,SPESP1_3,Control,68,-0.08659149249569062
PPIA,PPIA_2,Control,10,-1.50404902016091
SAT1,SAT1_3,Control,32,1.3460482622543175
POLD2,POLD2_2,Control,20,-1.0827965690566683
TPP1,TPP1_3,Control,42,-1.1070453772076483
DDX17,DDX17_2,Control,47,-0.21011801009461284
HNRNPA1,HNRNPA1_2,Control,47,-0.7087345437781576
CXCR4,CXCR4_1,Control,41,-0.08751358955133781
ACTA2,ACTA2_1,Control,52,-1.1837045590059894
RAB27A,RAB27A_3,Control,26,-0.635824443594102
NDUFA13,NDUFA13_1,Control,30,-0.8483416501523007
KCNN4,KCNN4_3,Control,51,-0.39309325729169525
PFDN4,PFDN4_3,Control,72,-0.3018999723021304
UQCRH,UQCRH_1,Control,17,-1.4094908203135958
PUF60,PUF60_3,Control,26,-0.8874729234197724
CSPG4,CSPG4_2,Control,43,1.0119929091512716
CD58,CD58_1,Control,36,-0.8297744740997975
TM4SF1,TM4SF1_3,Control,40,-0.5167015001741618
IRF3,IRF3_2,Control,41,0.025473221972523306
GRN,GRN_2,Control,40,-1.6954089570859974
CCR10,CCR10_3,Control,37,1.9117645175823554
JAK2,JAK2_2,Control,55,-1.1227309598461754
PFDN4,PFDN4_1,Control,64,-0.4016742617858713
TSC22D3,TSC22D3_3,Control,59,0.06246477320200815
CTSA,CTSA_3,Control,35,-1.5510854055511611
EMP1,EMP1_2,Control,46,-0.08328046093607126
TIMP1,TIMP1_3,Control,53,-2.3122066754890804
SOX4,SOX4_2,Control,62,-0.32411168323649153
A2M,A2M_3,Control,53,-0.029764950149690127
CTSO,CTSO_3,Control,40,-2.143625199290032
TFAP2A,TFAP2A_2,Control,43,-0.6005911100712233
VDAC2,VDAC2_2,Control,45,-2.083315331985648
GSN,GSN_1,Control,62,-1.0946469174271556
IDI2-AS1,IDI2-AS1_3,Control,44,-0.1700208578456239
RB1,RB1_2,Control,51,-0.42645469102715844
C6orf226,C6orf226_1,Control,48,-1.6270664450945422
KLF4,KLF4_1,Control,36,0.34181335170051136
MIA,MIA_2,Control,39,0.3614286907208578
C1QBP,C1QBP_1,Control,23,-1.2265295597314871
CTSB,CTSB_3,Control,41,-1.2571967524338354
NGFR,NGFR_1,Control,38,-0.05892819809246811
CYP27A1,CYP27A1_3,Control,43,-1.6152907536277168
LINC00518,LINC00518_2,Control,50,-0.029764950149690127
IFNGR1,IFNGR1_2,Control,38,-1.10027219710771
CST3,CST3_2,Control,52,-0.6499128076433116
JAK1,JAK1_2,Control,62,-1.6246645746612476
HLA-DRB5,HLA-DRB5_2,Control,64,0.0
RTP4,RTP4_2,Control,51,-0.9232397484895162
SERPINE2,SERPINE2_2,Control,37,-1.2810469002595655
SOX4,SOX4_3,Control,57,-1.119464959472086
RTP4,RTP4_1,Control,64,0.20214878473426237
SSR2,SSR2_2,Control,34,-0.7213672866501504
JAK2,JAK2_1,Control,56,-0.3892733056098249
APOE,APOE_1,Control,38,0.6058936946804918
TPP1,TPP1_2,Control,38,0.12215231122080286
CCND1,CCND1_2,Control,39,-0.6477761497188361
CD44,CD44_2,Control,49,-1.5914807265254969
SDC3,SDC3_2,Control,47,-0.2953564198675826
WBP2,WBP2_2,Control,38,-0.646611263911847
NONO,NONO_3,Control,45,-0.731073871718794
MFGE8,MFGE8_1,Control,39,-0.2792764465513172
TAPBPL,TAPBPL_3,Control,42,-1.4924089748339306
PTMA,PTMA_3,Control,33,-0.9052873510099136
CD58,CD58_3,Control,47,-0.8346798132100604
GPNMB,GPNMB_2,Control,42,-1.0434150121222667
MRPL47,MRPL47_1,Control,22,-0.3837936005435666
CD59,CD59_2,Control,70,-0.4095485240799646
VAT1,VAT1_1,Control,36,-1.7490622209408047
CD274,CD274_2,Control,57,-0.31584019757751447
TXNDC17,TXNDC17_3,Control,61,-1.555957945838782
GSN,GSN_3,Control,39,0.3853696827257864
TIMP3,TIMP3_3,Control,53,-0.9324366405220683
GSN,GSN_2,Control,62,-1.8358620791186078
CD44,CD44_1,Control,36,0.16029964919390935
B2M,B2M_3,Control,34,-1.6601222096977035
SAT1,SAT1_1,Control,57,0.46993356570857836
IDH2,IDH2_2,Control,56,-0.35283623018862176
JAK1,JAK1_1,Control,35,-1.694634007925253
GSEC,GSEC_2,Control,42,-1.231864560704803
STX7,STX7_3,Control,43,-0.9376048245234455
HLA-F,HLA-F_2,Control,45,-1.2596181854319266
XAGE1A,XAGE1A_2,Control,26,-0.29784138881359057
UCN2,UCN2_3,Control,28,-0.14356257391869331
GAA,GAA_3,Control,54,1.1517355650339651
CITED1,CITED1_3,Control,52,-0.64416674141262
SP100,SP100_3,Control,37,-1.0103031315636353
ST3GAL6-AS1,ST3GAL6-AS1_2,Control,60,0.517020128854658
TOP1MT,TOP1MT_1,Control,55,-1.1961284740874296
FMN1,FMN1_2,Control,41,-0.534748444105565
NMRK1,NMRK1_2,Control,49,-1.6422700422852068
TGFB1,TGFB1_2,Control,58,-2.164241767395539
HSPA1A,HSPA1A_3,Control,37,-1.2448971499163253
TOP1MT,TOP1MT_3,Control,47,-1.0996289652723716
PSAP,PSAP_1,Control,48,-0.39122592360558184
CCND2,CCND2_1,Control,38,-0.08751358955133781
TAPBPL,TAPBPL_1,Control,44,0.010994815173721174
FBXO32,FBXO32_2,Control,56,-0.845628014716403
NEAT1,NEAT1_2,Control,33,0.04348976247564507
JAK2,JAK2_3,Control,50,-0.2925044702896062
TIMP1,TIMP1_2,Control,29,-0.7179032204336964
APOD,APOD_3,Control,50,-0.1700208578456239
TIMM50,TIMM50_3,Control,62,-0.5823642729381799
MDH2,MDH2_3,Control,23,-1.7568019938168997
SLC5A3,SLC5A3_2,Control,58,0.11968752408613764
BOLA2,BOLA2_2,Control,26,-0.14303934176240313
HLA-A,HLA-A_2,Control,60,-0.5831933818415601
SET,SET_1,Control,42,-1.0279282718955614
SLC22A18,SLC22A18_1,Control,58,-1.2827099209264075
TMEM173,TMEM173_2,Control,58,-0.7325538734705702
UCN2,UCN2_1,Control,33,0.8321949257435178
NMRK1,NMRK1_1,Control,49,-1.1156506570178653
TTLL1,TTLL1_1,Control,74,-1.0448384908222605
SLC26A2,SLC26A2_3,Control,51,-0.3825848744518948
SGK1,SGK1_2,Control,51,-0.49975510815284474
CTSD,CTSD_1,Control,49,-2.318792576545716
TGFB1,TGFB1_3,Control,66,-1.984565860196405
CITED1,CITED1_2,Control,46,-0.64416674141262
P2RX4,P2RX4_2,Control,31,-0.6156474177629481
SET,SET_2,Control,51,-2.8328579500529782
AHNAK,AHNAK_1,Control,50,-0.21449990006605352
PROS1,PROS1_2,Control,46,-1.2736431526640168
EVA1A,EVA1A_3,Control,38,-0.475432178947338
MC1R,MC1R_1,Control,42,-1.4924089748339306
FBL,FBL_3,Control,39,-0.4165724346736075
LCP1,LCP1_3,Control,34,-2.0006469071591586
CTSO,CTSO_2,Control,55,0.6582322102227062
LY96,LY96_1,Control,52,-1.2859109223627359
NPC1,NPC1_2,Control,61,-1.0270668309027509
TXNDC17,TXNDC17_1,Control,33,-0.5231825760541234
AHNAK,AHNAK_2,Control,58,-0.42127623212331144
LINC00518,LINC00518_3,Control,36,-0.029764950149690127
NSG1,NSG1_3,Control,40,-0.46451969487379774
NSG1,NSG1_2,Control,43,-1.9234672011275629
CD58,CD58_2,Control,45,-1.436361673441022
STAT3,STAT3_2,Control,56,-0.7028882406555182
CTSO,CTSO_1,Control,73,-1.0158399750434226
RBP7,RBP7_2,Control,46,-0.41525316723065586
PIK3IP1,PIK3IP1_1,Control,39,2.73859367343073
CDK4,CDK4_3,Control,51,-0.9726472491005737
HSPA1A,HSPA1A_2,Control,35,-0.2707368352046169
SCARB2,SCARB2_2,Control,43,-1.6687290408848727
TAPBP,TAPBP_2,Control,42,-0.612710006394241
RAB27A,RAB27A_1,Control,56,-0.7977837359287548
FSTL3,FSTL3_2,Control,42,-2.0240647429352254
DDR1,DDR1_3,Control,49,-0.36281199030861244
CDKN1A,CDKN1A_1,Control,48,-0.0733711607017223
JAK1,JAK1_3,Control,38,-1.730968524367537
SLC22A18,SLC22A18_2,Control,44,-0.22188817407336964
SPESP1,SPESP1_2,Control,41,-0.4515573649298757
SERPINF1,SERPINF1_3,Control,44,-0.1700208578456239
JPT1,JPT1_1,Control,40,-1.562508221377655
AGA,AGA_1,Control,47,-0.5066780180076165
TSC22D3,TSC22D3_1,Control,59,-0.8518907034876099
JMJD7,JMJD7_1,Control,61,0.0
AEBP1,AEBP1_1,Control,52,-1.480533419284589
IFNGR1,IFNGR1_3,Control,37,-0.7546942061838533
CTSB,CTSB_1,Control,42,-1.027279876655416
VAT1,VAT1_3,Control,33,-1.2156776424880533
C6orf226,C6orf226_3,Control,25,0.6241369555292999
FGFR1,FGFR1_1,Control,67,-0.7184861372219988
PYGB,PYGB_2,Control,21,-0.23912134769099186
MIA,MIA_3,Control,40,-1.2610301003486184
CMSS1,CMSS1_2,Control,31,-1.3417808250634453
ARMC6,ARMC6_3,Control,45,-1.1430745020933055
NPC2,NPC2_2,Control,46,-1.5209627200052291
TAPBPL,TAPBPL_2,Control,54,-1.4924089748339306
CD63,CD63_3,Control,37,-1.0769324301203855
CD59,CD59_1,Control,46,-1.7264928892248816
IRF3,IRF3_1,Control,44,-0.32343327428522256
S100B,S100B_2,Control,49,-0.029764950149690127
CDK4,CDK4_2,Control,43,-0.42672466387584
SHMT2,SHMT2_2,Control,24,-2.4494804050039605
DNMT1,DNMT1_3,Control,24,-0.586061946118769
TSC22D3,TSC22D3_2,Control,51,0.6413034189154397
FSTL3,FSTL3_1,Control,50,-0.9882369179606038
SDCBP,SDCBP_2,Control,54,-1.7852569821298698
EIF4A1,EIF4A1_3,Control,10,0.3233228568067119
DLL3,DLL3_3,Control,58,0.29550107078401355
FKBP4,FKBP4_3,Control,37,-1.730721418528577
PSMB8-AS1,PSMB8-AS1_3,Control,39,-1.2228853292900628
FBXO32,FBXO32_1,Control,42,-1.463806017590678
CDH19,CDH19_1,Control,68,0.0
HLA-A,HLA-A_1,Control,45,-0.8228655551918517
CDKN2A,CDKN2A_3,Control,30,0.3420804782076995
ITGA3,ITGA3_2,Control,49,-1.1041983566599367
SLC22A18,SLC22A18_3,Control,64,-0.4409536075057161
GSEC,GSEC_1,Control,29,-0.8105136459646494
BOLA2,BOLA2_1,Control,18,-0.14303934176240313
TTLL1,TTLL1_3,Control,61,-1.0448384908222605
LGALS3,LGALS3_2,Control,44,-0.22981467601336886
ENPP1,ENPP1_1,Control,60,-0.9899062177427934
SSR2,SSR2_3,Control,32,-0.75751291633381
AGA,AGA_3,Control,43,-0.8925275398557577
NPC2,NPC2_3,Control,39,-1.0505786064481333
SPESP1,SPESP1_1,Control,43,-0.23482220724318673
BOLA2B,BOLA2B_3,Control,45,0.29621758324256
HLA-C,HLA-C_1,Control,45,-1.4390033339348114
SDC3,SDC3_1,Control,45,0.2818096901586107
FKBP4,FKBP4_2,Control,41,-1.192465797852002
PROS1,PROS1_1,Control,40,-2.7511621948506706
PSMB8-AS1,PSMB8-AS1_2,Control,45,0.22227398794397576
TMED10,TMED10_3,Control,27,-0.9528508505881081
CDH19,CDH19_2,Control,45,0.0
CD44,CD44_3,Control,73,0.02045922561974484
KDR,KDR_2,Control,47,-0.6821489300438655
RBP7,RBP7_3,Control,44,-0.41525316723065586
CD151,CD151_1,Control,42,-1.2903040709931166
UCN2,UCN2_2,Control,44,0.5576045727148332
FMN1,FMN1_3,Control,57,0.369610527669346
VDAC2,VDAC2_3,Control,37,-0.6577834465959276
HLA-E,HLA-E_3,Control,31,-1.4510331456873564
RNASEH2A,RNASEH2A_3,Control,15,1.028780328944037
EIF3K,EIF3K_2,Control,51,-1.1886884995996798
NONO,NONO_1,Control,45,-1.6872912278382248
AEBP1,AEBP1_2,Control,52,-1.2288957533026743
FGFR1,FGFR1_3,Control,55,-0.3300799078861565
SEC11C,SEC11C_3,Control,54,-1.2975703698264027
B2M,B2M_1,Control,45,-0.9774084906312646
SPINT1,SPINT1_3,Control,56,-0.8583676871539971
C1QBP,C1QBP_3,Control,29,-1.2702844623359804
LGALS3,LGALS3_1,Control,36,-1.0733424406412961
JMJD7,JMJD7_2,Control,45,0.0
B2M,B2M_2,Control,53,-1.1284600949544108
NGFR,NGFR_2,Control,54,-0.05892819809246811
NMRK1,NMRK1_3,Control,41,-3.694282789317195
CTPS1,CTPS1_3,Control,17,-1.5212851856587934
SAT1,SAT1_2,Control,48,-0.3937216178012326
SLIRP,SLIRP_2,Control,39,-0.17968815330757504
S100A6,S100A6_3,Control,50,-0.7442199145883215
ITGA3,ITGA3_1,Control,55,-0.9982362832704006
CGAS,CGAS_2,Control,47,-1.423283764635336
PIK3IP1,PIK3IP1_3,Control,39,-0.08751358955133781
TM4SF1,TM4SF1_1,Control,70,-0.4633308025917783
TP53,TP53_3,Control,54,0.458081194701939
IDH2,IDH2_1,Control,37,-2.0088554000242134
HLA-E,HLA-E_2,Control,44,-1.6424608315915201
TMEM173,TMEM173_1,Control,49,-2.5856812685509993
E2F1,E2F1_1,Control,19,-2.780904601342391
GPATCH4,GPATCH4_1,Control,41,-0.42352268860447334
STOM,STOM_2,Control,53,-1.7285338421151324
HLA-F,HLA-F_1,Control,47,-0.6659406061311953
STX7,STX7_2,Control,41,-0.5613290992636997
C19orf48,C19orf48_1,Control,56,-0.19111364149750176
IFNGR2,IFNGR2_1,Control,42,-0.7128196395657572
SERPINF1,SERPINF1_1,Control,65,-0.1700208578456239
ST6GALNAC2,ST6GALNAC2_2,Control,32,-0.1965070114258328
PFN1,PFN1_1,Control,26,-1.2806885319817007
PYGB,PYGB_3,Control,66,-0.8196064116372067
SLC5A3,SLC5A3_3,Control,50,0.40100656937609375
TAPBP,TAPBP_1,Control,44,-1.0068964612054028
SGK1,SGK1_3,Control,28,-0.6375948599966405
RPSA,RPSA_3,Control,53,-0.36974124986387924
SCARB2,SCARB2_3,Control,61,-1.4217847942554098
E2F1,E2F1_2,Control,51,-0.9995707602640954
CCND1,CCND1_3,Control,29,-0.6826577827609026
NEAT1,NEAT1_1,Control,41,-0.5929635414283059
JPT1,JPT1_3,Control,53,-0.8242789374716349
JMJD7,JMJD7_3,Control,39,0.0
EIF3K,EIF3K_1,Control,41,-0.8507447960944811
DDR1,DDR1_1,Control,26,-2.1338383141354096
DDX39A,DDX39A_1,Control,25,-1.4638299957467988
CCR10,CCR10_1,Control,28,-0.5238245040803017
ILF2,ILF2_2,Control,10,-1.3704716501919052
SDCBP,SDCBP_3,Control,35,-0.529152055650428
RBP7,RBP7_1,Control,38,-0.41525316723065586
DLL3,DLL3_1,Control,25,-0.5648795933978279
TFAP2A,TFAP2A_1,Control,35,-0.7319873606574042
CTSL,CTSL_2,Control,45,-0.9434505732933793
NOLC1,NOLC1_3,Control,31,0.16428060018627771
IDH2,IDH2_3,Control,65,-1.4591143403686107
MDH2,MDH2_2,Control,56,-0.746657002146339
IRF3,IRF3_3,Control,46,-0.0498128230787031
HLA-A,HLA-A_3,Control,51,-0.22782333816830974
RTP4,RTP4_3,Control,50,0.4239770829213375
SMAD3,SMAD3_1,Control,50,-0.31984260766808836
KDR,KDR_1,Control,40,-0.6821489300438655
RNF213,RNF213_2,Control,47,-0.14945604253708372
SERPINE2,SERPINE2_3,Control,40,-1.3633978636564634
NME1,NME1_1,Control,31,-0.6238234806102975
FSTL3,FSTL3_3,Control,65,-0.9672968790962873
CXCR4,CXCR4_2,Control,40,-0.08751358955133781
CMSS1,CMSS1_3,Control,50,-0.9849705595173998
ENPP1,ENPP1_2,Control,30,-2.1970715580957147
SLC5A3,SLC5A3_1,Control,50,-0.11717896468196189
TRIM22,TRIM22_3,Control,22,-0.24806372853245146
S100B,S100B_3,Control,58,-0.029764950149690127
EEA1,EEA1_1,Control,44,-0.8895451971613871
STOM,STOM_3,Control,45,-1.8460248149716731
CD59,CD59_3,Control,34,-0.26825957777642806
STX7,STX7_1,Control,50,-0.392793804036093
PET100,PET100_1,Control,29,-0.5203416792870561
CDKN2A,CDKN2A_2,Control,48,1.5985147177545653
LGALS3BP,LGALS3BP_3,Control,29,-1.2605198316851247
CGAS,CGAS_1,Control,42,-2.2091718043014175
CCND1,CCND1_1,Control,18,-1.8454665912399708
CDKN1A,CDKN1A_2,Control,48,0.0834342531023963
CITED1,CITED1_1,Control,49,-0.64416674141262
GAA,GAA_2,Control,36,-2.6300797429865774
ENPP1,ENPP1_3,Control,41,-0.6378250857258932
BZW2,BZW2_3,Control,41,-0.9507556753533223
GAA,GAA_1,Control,33,-0.864765748916285
PSAP,PSAP_3,Control,55,-0.1385380043009981
LAMP2,LAMP2_3,Control,55,-1.2891284051402354
RNF213,RNF213_1,Control,43,-0.42264452859151563
ISYNA1,ISYNA1_3,Control,41,-0.274087473963331
P2RX4,P2RX4_3,Control,20,-2.3815187065055534
IDI2-AS1,IDI2-AS1_1,Control,46,-0.1700208578456239
AHNAK,AHNAK_3,Control,36,-1.1052175324091387
LRPAP1,LRPAP1_2,Control,44,-2.0307868684141495
TXNDC17,TXNDC17_2,Control,39,-1.0074266698476844
SEC11C,SEC11C_1,Control,46,-0.7526517425065867
TP53,TP53_1,Control,35,-1.4708712022617154
GPNMB,GPNMB_1,Control,54,-1.3608389654998903
SMAD4,SMAD4_2,Control,42,-1.4103957718314886
NT5E,NT5E_1,Control,45,-0.991637259022483
CD63,CD63_1,Control,35,-1.6355420768950124
CDK4,CDK4_1,Control,32,-0.9341800503782268
CD47,CD47_3,Control,74,-1.6767547401474792
ACTA2,ACTA2_2,Control,58,-1.1837045590059894
RRS1,RRS1_2,Control,14,-0.6133865784077335
FOS,FOS_2,Control,34,-0.876890577223051
CKS1B,CKS1B_3,Control,43,-1.4224013870913275
IFNGR2,IFNGR2_2,Control,64,-1.0832110793584657
DAG1,DAG1_1,Control,27,-0.6397968600200516
CD274,CD274_3,Control,40,-0.11885323712553629
MC1R,MC1R_2,Control,56,-0.2161235249850601
CDKN2B,CDKN2B_2,Control,60,-0.37111875353161056
CSPG4,CSPG4_1,Control,56,-0.39252282155914076
CHCHD2,CHCHD2_1,Control,43,-0.6902206012394877
LINC00518,LINC00518_1,Control,48,-0.029764950149690127
DDX39A,DDX39A_3,Control,25,-1.4077799693901518
SLC19A1,SLC19A1_2,Control,33,-0.4276668333361294
HNRNPA1,HNRNPA1_1,Control,37,-1.1430155133977744
AEBP1,AEBP1_3,Control,48,-1.7318248877997666
APOE,APOE_2,Control,48,-1.9930147131233538
SLC25A13,SLC25A13_3,Control,42,-1.337056825580416
CDC123,CDC123_2,Control,31,0.06797949912493588
STAT3,STAT3_3,Control,31,-0.821835255735828
ISYNA1,ISYNA1_2,Control,28,-0.303645110364507
C1QBP,C1QBP_2,Control,27,-2.2616132256328094
IDI2-AS1,IDI2-AS1_2,Control,42,2.7086443769561073
EVA1A,EVA1A_2,Control,37,0.335848754275907
TIMP2,TIMP2_1,Control,44,-1.3567227229624015
CCR10,CCR10_2,Control,51,1.5724945811042215
ARMC6,ARMC6_2,Control,38,0.17096490572816303
AGA,AGA_2,Control,48,-2.4685934856503247
SHMT2,SHMT2_1,Control,32,-0.9492349203730045
CDKN2B,CDKN2B_3,Control,26,-0.7009714594006833
HLA-F,HLA-F_3,Control,39,-1.0608583658317594
FOS,FOS_3,Control,49,-1.341851028918838
ITGA3,ITGA3_3,Control,41,-0.29411931793407936
SLC26A2,SLC26A2_1,Control,45,-0.06355091530946212
VAT1,VAT1_2,Control,46,-0.938622308262891
CD151,CD151_2,Control,40,-0.5744280081289416
ST6GALNAC2,ST6GALNAC2_1,Control,44,-0.1965070114258328
BZW2,BZW2_1,Control,52,-2.2115470289384076
MC1R,MC1R_3,Control,36,0.1641596484221042
EEA1,EEA1_2,Control,35,-0.5940799917545956
UQCRFS1,UQCRFS1_1,Control,39,-0.967486886701824
CD151,CD151_3,Control,42,-0.21803668538990517
XAGE1A,XAGE1A_3,Control,33,-0.29784138881359057
PTMA,PTMA_2,Control,30,-1.2230726670531662
CORO1A,CORO1A_2,Control,42,-0.6044958131598204
CDKN2B,CDKN2B_1,Control,48,-0.3574784664997295
LGALS3,LGALS3_3,Control,42,-1.4453641319072492
SERPINA3,SERPINA3_1,Control,49,-0.029764950149690127
SPINT1,SPINT1_2,Control,49,0.565286063545377
IRF4,IRF4_2,Control,39,0.0
PSAP,PSAP_2,Control,63,-0.9981142760312777
STAT1,STAT1_2,Control,38,-1.4692002820532206
CMSS1,CMSS1_1,Control,43,-2.6725274713591753
CD47,CD47_1,Control,33,-2.0125646173661615
SMAD3,SMAD3_3,Control,46,-0.31562612112901817
C19orf48,C19orf48_3,Control,54,0.029081415053461457
NOLC1,NOLC1_1,Control,15,-0.4221567459542809
KLF4,KLF4_2,Control,40,-2.157173555857635
FBXO32,FBXO32_3,Control,27,-1.5713955829420905
SLC25A13,SLC25A13_1,Control,51,0.031729936355624135
TPP1,TPP1_1,Control,48,-0.5384634294020965
SERPINF1,SERPINF1_2,Control,39,-0.1700208578456239
ACSL3,ACSL3_1,Control,24,-0.9277498830970881
PTMA,PTMA_1,Control,46,-1.478033685619753
HLA-C,HLA-C_3,Control,29,-2.3017436696380815
FBL,FBL_2,Control,12,-0.26509776031445903
MFGE8,MFGE8_2,Control,63,-0.44886480377290916
PPIA,PPIA_1,Control,55,-0.4043152618304901
ST6GALNAC2,ST6GALNAC2_3,Control,26,-0.1965070114258328
CTSD,CTSD_3,Control,65,-2.0346871725491247
ACTA2,ACTA2_3,Control,47,-1.1837045590059894
TMEM173,TMEM173_3,Control,37,0.556638722767466
CTSD,CTSD_2,Control,55,-1.877765417240817
CHCHD2,CHCHD2_2,Control,64,-0.8926106046977711
PYGB,PYGB_1,Control,45,-1.3683859268653134
NEAT1,NEAT1_3,Control,30,-0.3178889499632391
RAB27A,RAB27A_2,Control,49,-0.413035193555013
NSG1,NSG1_1,Control,52,-1.9234672011275629
MRPL47,MRPL47_3,Control,21,-1.3949582487559
NME1,NME1_3,Control,30,-0.6233028065635642
SOX4,SOX4_1,Control,50,-0.5891406079877807
CD274,CD274_1,Control,44,-1.076565121743873
FOXM1,FOXM1_3,Control,26,-1.2360104030580983
FGFR1,FGFR1_2,Control,43,-1.464438718847891
PET100,PET100_2,Control,20,-1.1183633986446566
IFNGR2,IFNGR2_3,Control,35,-0.5679186374941537
PROS1,PROS1_3,Control,30,-0.18242763263817682
TM4SF1,TM4SF1_2,Control,36,-0.08686649988673079
RB1,RB1_3,Control,44,-1.5856823409903642
ATP5MD,ATP5MD_1,Control,53,-0.6748568118525524
WBP2,WBP2_3,Control,36,-0.1975177848616624
NPC1,NPC1_1,Control,41,-1.211422050383596
SERPINE2,SERPINE2_1,Control,35,-1.308860500420704
E2F1,E2F1_3,Control,27,-0.9871768935830315
A2M,A2M_2,Control,48,-0.029764950149690127
SP100,SP100_2,Control,54,-1.4496740833090949
CDH19,CDH19_3,Control,43,0.0
HNRNPC,HNRNPC_2,Control,36,-0.049578778138886136
NME1,NME1_2,Control,52,-0.6887912949127165
UQCRFS1,UQCRFS1_3,Control,31,-1.1499474198136264
CYP27A1,CYP27A1_2,Control,54,-0.3052733404406727
KLF4,KLF4_3,Control,45,1.154797240323289
SCARB2,SCARB2_1,Control,37,-2.3434215096184015
APOE,APOE_3,Control,54,-0.2753503137040906
FRZB,FRZB_3,Control,19,4.983745325627291
CTSA,CTSA_2,Control,52,-0.8621935355331466
MT2A,MT2A_3,Control,28,-1.1134427876017823
TTLL1,TTLL1_2,Control,32,0.7569402932082885
PPIA,PPIA_3,Control,43,-0.10496005018790959
VDAC2,VDAC2_1,Control,53,-1.9164966376416734
SERPINA3,SERPINA3_2,Control,37,-0.029764950149690127
DDX39A,DDX39A_2,Control,25,-0.7931731813678718
ILF2,ILF2_3,Control,17,-0.33129324204014327
PPA1,PPA1_1,Control,11,-0.25539896143803353
CDKN2A,CDKN2A_1,Control,30,-0.0379386602231084
DDX17,DDX17_3,Control,35,-1.0126841074395776
SLIRP,SLIRP_3,Control,51,-0.5220706812951528
DDX17,DDX17_1,Control,25,-0.7701237564470953
GPATCH4,GPATCH4_3,Control,23,-1.28133547129726
TPRKB,TPRKB_2,Control,28,-0.05412397866734317
MT2A,MT2A_1,Control,32,-1.0512254611998406
TGFB1,TGFB1_1,Control,40,-2.311687880313064
TRIM22,TRIM22_2,Control,41,1.264571273492325
NT5E,NT5E_2,Control,64,-0.3575787663368466
TP53,TP53_2,Control,52,-0.1732227466260557
LCP1,LCP1_2,Control,56,-2.0006469071591586
KDR,KDR_3,Control,42,-0.6821489300438655
MFGE8,MFGE8_3,Control,60,-0.6011416521183351
GRN,GRN_1,Control,38,-1.639380137957645
HNRNPA1,HNRNPA1_3,Control,28,-0.8930538001935947
MDH2,MDH2_1,Control,43,-1.0742883722159648
CSPG4,CSPG4_3,Control,44,-0.39252282155914076
MIA,MIA_1,Control,31,-1.2610301003486184
RNASEH2A,RNASEH2A_1,Control,29,-1.5241245004700246
EIF3K,EIF3K_3,Control,24,-0.23993175660704344
C19orf48,C19orf48_2,Control,27,0.12295758717458405
UBC,UBC_3,Control,30,1.4709918096269385
A2M,A2M_1,Control,45,-0.029764950149690127
HASPIN,HASPIN_1,Control,23,0.0652692857621987
PAICS,PAICS_2,Control,15,-1.0427813825196863
TIMP3,TIMP3_1,Control,31,-0.3267778101755012
S100A6,S100A6_2,Control,30,-1.3930440502885972
STAT1,STAT1_3,Control,32,-1.6952567311680127
LGALS3BP,LGALS3BP_1,Control,59,-0.686650123218662
BOLA2,BOLA2_3,Control,41,-0.14303934176240313
KCNN4,KCNN4_1,Control,34,-1.858857695700615
DAG1,DAG1_3,Control,47,-0.2736361335899655
PFN1,PFN1_3,Control,19,-0.09839016872551228
ST3GAL6-AS1,ST3GAL6-AS1_3,Control,56,0.5785588325187822
IRF4,IRF4_1,Control,48,0.0
SP100,SP100_1,Control,41,-1.1652743629537048
HLA-B,HLA-B_1,Control,54,-0.7670742538966414
CORO1A,CORO1A_3,Control,50,1.1283044921289984
CKS1B,CKS1B_2,Control,49,-1.0189053258565994
ATP1B1,ATP1B1_3,Control,53,-1.7300720941131749
CYP27A1,CYP27A1_1,Control,51,-1.6152907536277168
NCL,NCL_3,Control,22,-0.5675436426425414
PABPC1,PABPC1_3,Control,19,-0.3782682145721918
SDC3,SDC3_3,Control,39,-0.6686724188154575
TFAP2A,TFAP2A_3,Control,44,-0.30745585710278595
NONO,NONO_2,Control,31,-2.3392164256753087
ARMC6,ARMC6_1,Control,39,-1.9473118970367502
SINHCAF,SINHCAF_3,Control,16,-0.6014882292379098
PUF60,PUF60_2,Control,15,0.2444677730199234
HLA-DRB5,HLA-DRB5_1,Control,69,0.0
SEC11C,SEC11C_2,Control,49,-1.1968629314665502
S100A6,S100A6_1,Control,44,-0.6773286388432083
SLC19A1,SLC19A1_1,Control,20,-1.0248830675457559
ATP5MD,ATP5MD_2,Control,28,-0.4077080084954433
CCT3,CCT3_2,Control,13,-0.5070223658844373
CORO1A,CORO1A_1,Control,44,-1.9625731019456414
BZW2,BZW2_2,Control,40,-0.8302187683928991
NT5E,NT5E_3,Control,68,-0.12890676275934923
ATP1B1,ATP1B1_2,Control,53,-0.3769169833467742
KCNN4,KCNN4_2,Control,35,-0.7855893874660483
MRPL47,MRPL47_2,Control,27,-1.5243969498329155
TAPBP,TAPBP_3,Control,37,-1.3501540314522456
