perturbation,condition,cpm_pert,cpm_ctrl,n_cells,self_log2fc
UQCRFS1,Control,141.6674938634846,282.56470695309093,80,-0.9910213221739317
CORO1A,Control,3.2473190674998564,2.8975650510128834,136,0.123979389082345
SERPINA3,Control,0.0,0.020845791733905637,112,-0.029764950149690127
IRF4,Control,0.0,0.0,103,0.0
STAT1,Control,26.101859070567752,66.33130929728773,110,-1.3128857015362314
ACSL3,Control,104.96323006846664,158.88662459582875,72,-0.5934855273678326
ATP5MD,Control,121.55063886436974,183.8390373013138,145,-0.5928914755496635
CCT3,Control,472.7193389761291,820.7196663555987,26,-0.7946137261708779
HNRNPC,Control,290.4842531669747,300.2627841351768,40,-0.047604516720378666
FRZB,Control,13.847575124743573,1.1673643370987157,113,2.7762137342284716
MT2A,Control,1136.4862840361936,1918.83428331428,95,-0.7551326362432068
PPA1,Control,209.9597747797343,232.80580208425815,25,-0.14834279588649457
TPRKB,Control,127.12883358529349,145.21178521838667,45,-0.19046443224123924
DNAJC9,Control,81.2532501300052,52.614778336377825,5,0.6174419673354734
UBC,Control,3730.825171568868,1628.8067829204508,55,1.1951804604283511
HASPIN,Control,4.125679189936643,2.9392566344806945,60,0.3798197762837196
PAICS,Control,79.2344336678428,188.73779835878165,48,-1.2417136855837523
UBA52,Control,869.0263343471973,1119.6483198198057,10,-0.36520262989228747
FTH1,Control,9253.415166750096,15048.389440580875,19,-0.7014912305883464
ATP1B1,Control,93.22197257693973,204.68482903521945,159,-1.1262999461762266
NCL,Control,814.905517891656,1296.9626243084072,31,-0.6697748381229466
PABPC1,Control,274.2413194556471,434.30122498419,42,-0.6613170151528565
SINHCAF,Control,84.83725386799655,114.58931716127928,55,-0.429332242401096
CDK6,Control,61.969543866216604,138.3118281544639,51,-1.1455916319355586
AHCY,Control,64.5802926778864,82.77863897533929,11,-0.3533201067733097
ROMO1,Control,109.41903356246489,163.9313061954339,32,-0.5788763886486613
SNRPE,Control,510.9489051094891,576.5945993598299,10,-0.17405742305261473
RUVBL2,Control,51.3080341968048,78.08833583521051,14,-0.5964323850635611
GPI,Control,37.99512395909192,98.91328177738225,23,-1.3573827353068404
CCT6A,Control,602.8976769598885,923.5519569789553,10,-0.6144502736239617
EEF1G,Control,0.0,1.3549764627038663,21,-1.2357126405980994
SNRPG,Control,349.35563294368166,415.93608246661915,14,-0.25100613944524164
SAE1,Control,61.85169419067058,63.2252863289358,21,-0.031189783409657022
MYC,Control,63.99906910444938,61.078169780343515,31,0.06633303258425509
PRELID3B,Control,111.66945840312674,201.59965185860142,23,-0.8465352015671309
NACA,Control,1620.5149773931976,2024.376526863044,15,-0.32084778706226735
FARSA,Control,44.887080937017814,29.163262635733986,12,0.6052955465770586
SNRPF,Control,457.39947606969105,426.4840530839754,11,0.10073479262447044
ATP1A1,Control,75.642965204236,125.57504940504755,3,-0.7237677643359753
UBL5,Control,325.351379489849,423.96171228417285,3,-0.38090672721447677
PSMA7,Control,2020.2969366660402,1842.0800781500395,3,0.13316252045231136
RACK1,Control,1293.7850400115003,1255.9172603843467,6,0.0428229178134284
HLA-B,IFNγ,297.6620900163829,479.6671434653223,147,-0.6865240657274907
IFNGR1,IFNγ,20.197913490381886,47.19012372627769,178,-1.1848152377739398
CDKN1A,IFNγ,22.913706979515144,26.953291572347638,202,-0.2251803876127354
EMP1,IFNγ,4.648509896909996,10.77432031704487,238,-1.059701548212562
CD63,IFNγ,683.5156309938392,1836.3744552059381,196,-1.4244902852414478
PIK3IP1,IFNγ,0.6331538342213315,0.1049446784127747,161,0.5636865517458345
SPESP1,IFNγ,36.09158524689968,35.73366299954979,218,0.013989162500517217
PPIA,IFNγ,909.6633470963259,1158.6592127959748,195,-0.3487111811713555
SAT1,IFNγ,617.0664328234151,500.72604226681904,201,0.3008620907908735
POLD2,IFNγ,51.849560229313326,110.06947687526521,47,-1.071499030741935
TPP1,IFNγ,6.6057716151009975,14.499856400698372,211,-1.0270883259165482
DDX17,IFNγ,97.01458406383006,129.29184380453844,156,-0.41067843895935113
HNRNPA1,IFNγ,267.2219835589308,476.4138584345262,148,-0.8318129599438399
CXCR4,IFNγ,0.0,0.05247233920638735,203,-0.07378231726870879
ACTA2,IFNγ,0.3804190696471233,1.7665687532817076,285,-1.0029914683336454
RAB27A,IFNγ,54.1580650916227,61.6724893472406,205,-0.1842604490649821
NDUFA13,IFNγ,84.79974251714545,132.52763805559897,113,-0.6380931639452215
KCNN4,IFNγ,10.809188848203101,16.54627762974748,253,-0.5712551291736649
PFDN4,IFNγ,220.13809297514885,238.18943843752766,223,-0.11320612439157847
UQCRH,IFNγ,571.0114464645903,995.7675811196127,75,-0.801213129974106
PUF60,IFNγ,87.28868321764327,138.47450316565622,85,-0.6597009810603289
CSPG4,IFNγ,0.0,0.19239857709008695,276,-0.2538665588497201
CD58,IFNγ,17.438007881979562,27.63543198203067,205,-0.635118578019233
TM4SF1,IFNγ,97.92661233823227,141.92018677354233,213,-0.53077912538875
IRF3,IFNγ,76.65228400499898,109.9295506373815,199,-0.5145434730383424
GRN,IFNγ,34.222659566870085,85.26755121037945,215,-1.2923141569895116
CCR10,IFNγ,1.0427158995405794,0.15741701761916205,207,0.8195798068596997
JAK2,IFNγ,4.864672118666865,13.20553870027415,221,-1.2763311846137544
TSC22D3,IFNγ,5.375590251008707,5.3696693787869725,234,0.00134042206351795
CTSA,IFNγ,43.611139559076676,148.44424761486982,211,-1.7441314597986604
TIMP1,IFNγ,834.1701821228361,1620.975502763718,205,-0.9576099204649877
SOX4,IFNγ,38.06139475981097,47.942227254902576,230,-0.325336292585681
A2M,IFNγ,0.0,0.1749077973546245,252,-0.23254754358296692
CTSO,IFNγ,3.364291827083811,8.797862206937614,241,-1.1667194287295515
TFAP2A,IFNγ,55.478243437599794,69.42090477005046,218,-0.3183085438955423
VDAC2,IFNγ,96.2595843803453,266.0522505561193,219,-1.4572097108197175
GSN,IFNγ,9.009605591000845,23.647534202345234,228,-1.3000581944883554
IDI2-AS1,IFNγ,0.4332132466213699,0.034981559470924906,231,0.46964821989078037
RB1,IFNγ,11.268019441089542,25.67646465165888,245,-1.1206651253803126
C6orf226,IFNγ,4.849025588308029,11.14162669148958,210,-1.0536935159321246
KLF4,IFNγ,12.560239192627826,12.715796867681203,194,-0.01645581631083132
MIA,IFNγ,0.9434620907497316,1.6791148546043952,231,-0.46312746467069715
C1QBP,IFNγ,240.8433826159377,794.2737985670854,159,-1.7173785771456203
CTSB,IFNγ,95.0548849674391,252.8467118558452,229,-1.4020266820036733
NGFR,IFNγ,0.0,0.13992623788369962,174,-0.18894047379150988
CYP27A1,IFNγ,0.0,1.4867162775143083,223,-1.3142419123102576
LINC00518,IFNγ,0.0,0.034981559470924906,246,-0.04960506308996055
CST3,IFNγ,254.115290730425,428.87391911353933,163,-0.7527642115101276
JAK1,IFNγ,25.33263152561551,76.7670322589447,225,-1.5623069808916767
HLA-DRB5,IFNγ,0.42812196167195327,0.05247233920638735,248,0.44033687357300516
RTP4,IFNγ,11.4601734415392,12.383472052707416,275,-0.10312829025439137
SERPINE2,IFNγ,140.8104253468114,457.6812333378459,192,-1.6935282838793786
SSR2,IFNγ,198.5903034895911,394.83686174832934,182,-0.9878643343141937
APOE,IFNγ,3.3089260644106093,6.174245246618245,232,-0.7354987197891811
CCND1,IFNγ,531.016135700462,1110.8744025586911,140,-1.063451922795095
CD44,IFNγ,375.09494451404686,465.7095012364232,239,-0.3114279241427194
SDC3,IFNγ,2.6590693257359925,4.0053885594209016,270,-0.45200531762742147
EIF2S3,IFNγ,31.721862707778197,54.97352070855848,13,-0.7744896187116369
WBP2,IFNγ,24.14380047563287,32.53285030796016,252,-0.4153723890642935
NONO,IFNγ,47.80546363332147,125.8636509763878,170,-1.3781641992682168
MFGE8,IFNγ,10.094655303341135,20.656610867581154,315,-0.9649426417556886
TAPBPL,IFNγ,1.9457978549524446,3.4981559470924903,224,-0.6106752450628061
PTMA,IFNγ,1481.043566081947,4154.689855242808,185,-1.4875001303149527
GPNMB,IFNγ,1.644785536413907,2.4661999427002055,184,-0.39020413659042785
MRPL47,IFNγ,122.57481976355223,199.69223223977482,119,-0.6995999762256254
CD59,IFNγ,136.10872087792433,212.1281766316886,265,-0.6364009998986674
VAT1,IFNγ,19.47574188150093,53.04953493765761,151,-1.400366479676021
CD274,IFNγ,20.534659345797344,41.43565719331055,270,-0.9786165184443933
TXNDC17,IFNγ,95.33074129389443,206.7235256934307,201,-1.1085964447127203
TIMP3,IFNγ,42.66934473491206,87.59382491519595,177,-1.0205852614654318
